Comment,Description,Designator,Footprint,LibRef,Quantity

"100";"RES_0805";"R34, R35";"RES_0805";"RES_0805";"2"
"22";"RES_0805";"R40, R53, R54, R58";"RES_0805";"RES_0805";"4"
"24";"RES_0805";"R41, R42, R43, R64, R65";"RES_0805";"RES_0805";"5"
"56";"RES_0805";"R44, R67";"RES_0805";"RES_0805";"2"
"";"RES_0805";"R59, R60";"RES_0805";"RES_0805";"2"
"330";"RES_0805";"R61";"RES_0805";"RES_0805";"1"
"5.6";"RES_1206";"R62, R63";"RES_1206";"RES_1206";"2"
"10";"RES_0603";"R68, R69";"RES_0603";"RES_0603";"2"
"Thermistor 20k";"Thermistor";"R70";"MF52A103F3950A1";"MF52A103F3950_A1_";"1"
"ADJ-5k";"306J";"R71";"306J";"306J";"1"
"0";"RES_0805";"R1001, R1002";"RES_0805";"RES_0805";"2"
"ACP3225-501-2P-T";"Transformer";"T1";"TRANSF_ICORE";"TRANSF_ICORE";"1"
"1:1+1";"Transformer";"T3";"TRANSF_ACORE2";"TRANSF_ACORE2";"1"
"1:4 ADT4-6T";"Transformer";"T4";"TRANSF_ACORE2";"TRANSF_ACORE2";"1"
"1:1";"Transformer";"T6";"TRANSF_ACORE";"TRANSF_ACORE";"1"
"PAM8406";"PAM8406";"U1";"PAM8403";"PAM8406";"1"
"LD3985";"LD3985";"U2";"LD3985";"LD3985";"1"
"ST1S10";"ST1S10";"U3";"ST1S10";"ST1S10";"1"
"WM8731";"WM8731";"U4";"WM8731";"WM8731";"1"
"STM32H743VIT6-rev.V";"STM32H743VIT6";"U5";"STM32H743VIT6";"STM32H743VIT6";"1"
"LM1084IS-3.3";"LM1084IS-3.3";"U6";"LM1085-3.3";"LM1085-3.3";"1"
"W25Q16";"W25Q16";"U7";"W25Q16";"W25Q16";"1"
"DAC5674";"Integrated Circuit";"U8";"QFP50P900X900X100-49N";"DAC5674IPHP";"1"
"25P80";"25P80";"U9";"25P80";"25P80";"1"
"EP4CE22E22C8N";"EP4CE22E22C8N";"U10";"QFP144-20-2222A";"EP4CE22E22C8N";"1"
"1117DT-2.5";"LD1117DT-2.5 DPAK";"U11";"TO228P991X238-3N";"LM1117DT-ADJ";"1"
"1117DT-1.2";"LD1117DT-1.2 DPAK";"U12";"TO228P991X238-3N";"LM1117DT-ADJ";"1"
"1117-3.3";"LT1117CST-3.3";"U13";"LT1117CST-3.3";"LT1117CST-3.3";"1"
"1117-1.8";"LT1117CST-1.8";"U14";"LT1117CST-3.3";"LT1117CST-3.3";"1"
"SPEAKER";"4 pins conn";"U15";"speaker conn";"speaker conn";"1"
"LTC2208CUP";"LTC2208CUP";"U16";"LTC2208CUP";"LTC2208CUP";"1"
"LTC6400IUD";"Single Channel, Low Noise, Low Distortion Differential ADC Driver for 300 MHz IF, 1800 MHz Typical GBW, 4500 V/us Typical SR, 2.85 to 3.5 V, 16-Pin QFN (UD-16), Industrial, Pb-Free";"U17";"LT-UD-16_N";"CMP-0359-03855-2";"1"
"1117DT-3.3";"LD1117DT33 DPAK";"U18";"TO228P991X238-3N";"LM1117DT-ADJ";"1"
"ADUM4160";"Integrated Circuit";"U19";"SOIC127P1032X265-16N";"ADUM4160BRWZ";"1"
"OPA2673";"Integrated Circuit";"U20";"QFN65P400X400X100-17N-D";"OPA2673IRGVT";"1"
"L7812";"Integrated Circuit";"U21";"L7812CD2TTR";"L7812CD2T-TR";"1"
"122.88Mhz";"NV7050SA
VG-4513CA-122.8800M-GGCT3";"XG1";"NV7050SA";"NV7050SA";"1"
"12.288Mhz TCXO 3.3v TTL/CMOS (set other freq in fpga code)";"Crystal or Oscillator";"XG2";"581L200X2ITT";"581L200X2ITT";"1"
"ABS25-32.768KHZ-6-T";"Crystal or Oscillator";"Y1";"ABS25";"ABS25-32.768KHZ-6-T";"1"
"8mhz";"ECS-200-20-1";"Y2";"ECS-200-20-1";"ECS-200-20-1";"1"
